,host_material,semiconductor_2,semiconductor_3,semiconductor_1_pct,semiconductor_2_pct,co_catalyst,co_catalyst_wt_pct,form,structure,bandgap_eV,full_catalyst,preparation_semiconductor,calcination_temp_semiconductor_C,calcination_time_semiconductor_h,preparation_photocatalyst,calcination_temp_photocatalyst_C,calcination_time_photocatalyst_h,light_type,light_source_type,light_power_W,light_power_reported,wavelength_cutoff_nm,is_xe_lamp,is_hg_lamp,is_led,is_uv,is_visible_light,catalyst_loading_g_L,catalyst_loading_mg,catalyst_loading_reported,reaction_volume_mL,glycerol_concentration_v_pct,glycerol_concentration_std,glycerol_concentration_reported,temperature_C,pH,HER_reported,HER_std_umol_g_h,DOI,source_url,paper_title,journal,year,authors,data_quality_flag,data_quality_note,confidence_HER,confidence_loading,confidence_volume,confidence_light,confidence_wavelength,confidence_pH,confidence_bandgap,metadata_completeness_score,experiment_hash,semi_bandgap_eV,semi_electron_affinity_eV,semi_dielectric,semi_crystal,semi_density,cocat_work_function,cocat_d_band_center,cocat_atomic_radius,cocat_electronegativity,cocat_price,log_HER
492,cds,,,100.0,,pt,,nanoparticle,,,xwt%pt/cds,heat treating,,0.0,photodeposition,,0.0,visible,hg-xe lamp,500.0,500 w,418.0,1,1,0,0,1,1.0,60.0,1 g/l,60.0,30.0,4.1079,30 vol%,25.0,10.0,1124.29 μmol g⁻¹ h⁻¹,1124.29,10.1002/chem.201501595,https://doi.org/10.1002/chem.201501595,zno/zns heterostructured nanorod arrays and their efficient photocatalytic hydrogen evolution,chemistry a european journal,2015.0,bao et al.,needs_review,catalyst loading calc: 1.0 g/l × 60.0 ml = 60.00 mg; glycerol std: (30.0/100×1261)/92.09 = 4.1079 m; doi resolved via crossref api,high,medium,high,high,medium,high,low,0.625,d2ee2a8e6dc43035,2.42,4.2,8.9,3.0,4.82,5.65,-2.25,139.0,2.28,5.0,7.025796059197315
491,cds,,,100.0,,pt,,nanoparticle,,,xwt%pt/cds,heat treating,,0.0,photodeposition,,0.0,visible,hg-xe lamp,500.0,500 w,418.0,1,1,0,0,1,1.0,60.0,1 g/l,60.0,30.0,4.1079,30 vol%,25.0,10.0,786.67 μmol g⁻¹ h⁻¹,786.67,10.1002/chem.201501595,https://doi.org/10.1002/chem.201501595,zno/zns heterostructured nanorod arrays and their efficient photocatalytic hydrogen evolution,chemistry a european journal,2015.0,bao et al.,needs_review,catalyst loading calc: 1.0 g/l × 60.0 ml = 60.00 mg; glycerol std: (30.0/100×1261)/92.09 = 4.1079 m; doi resolved via crossref api,high,medium,high,high,medium,high,low,0.625,717e1becbd25c91f,2.42,4.2,8.9,3.0,4.82,5.65,-2.25,139.0,2.28,5.0,6.669079220418435
490,cds,,,100.0,,pt,,nanoparticle,,,xwt%pt/cds,heat treating,,0.0,photodeposition,,0.0,visible,hg-xe lamp,500.0,500 w,418.0,1,1,0,0,1,2.0,120.0,2 g/l,60.0,70.0,9.5852,70 vol%,25.0,4.0,1301.43 μmol g⁻¹ h⁻¹,1301.43,10.1002/chem.201501595,https://doi.org/10.1002/chem.201501595,zno/zns heterostructured nanorod arrays and their efficient photocatalytic hydrogen evolution,chemistry a european journal,2015.0,bao et al.,needs_review,catalyst loading calc: 2.0 g/l × 60.0 ml = 120.00 mg; glycerol std: (70.0/100×1261)/92.09 = 9.5852 m; doi resolved via crossref api,high,medium,high,high,medium,high,low,0.625,1f1742a965d29e3e,2.42,4.2,8.9,3.0,4.82,5.65,-2.25,139.0,2.28,5.0,7.171987029381023
489,cds,,,100.0,,pt,,nanoparticle,,,xwt%pt/cds,heat treating,,0.0,photodeposition,,0.0,visible,hg-xe lamp,500.0,500 w,418.0,1,1,0,0,1,2.0,120.0,2 g/l,60.0,70.0,9.5852,70 vol%,25.0,4.0,8023.33 μmol g⁻¹ h⁻¹,8023.33,10.1002/chem.201501595,https://doi.org/10.1002/chem.201501595,zno/zns heterostructured nanorod arrays and their efficient photocatalytic hydrogen evolution,chemistry a european journal,2015.0,bao et al.,needs_review,catalyst loading calc: 2.0 g/l × 60.0 ml = 120.00 mg; glycerol std: (70.0/100×1261)/92.09 = 9.5852 m; doi resolved via crossref api,high,medium,high,high,medium,high,low,0.625,46ef959a9322ad88,2.42,4.2,8.9,3.0,4.82,5.65,-2.25,139.0,2.28,5.0,8.990233455416234
488,cds,,,100.0,,pt,,nanoparticle,,,xwt%pt/cds,heat treating,,0.0,photodeposition,,0.0,visible,hg-xe lamp,500.0,500 w,418.0,1,1,0,0,1,1.0,60.0,1 g/l,60.0,70.0,9.5852,70 vol%,25.0,4.0,5261.43 μmol g⁻¹ h⁻¹,5261.43,10.1002/chem.201501595,https://doi.org/10.1002/chem.201501595,zno/zns heterostructured nanorod arrays and their efficient photocatalytic hydrogen evolution,chemistry a european journal,2015.0,bao et al.,needs_review,catalyst loading calc: 1.0 g/l × 60.0 ml = 60.00 mg; glycerol std: (70.0/100×1261)/92.09 = 9.5852 m; doi resolved via crossref api,high,medium,high,high,medium,high,low,0.625,51ec4ee4248fcdca,2.42,4.2,8.9,3.0,4.82,5.65,-2.25,139.0,2.28,5.0,8.56834817623946
487,cds,,,100.0,,pt,,nanoparticle,,,xwt%pt/cds,heat treating,,0.0,photodeposition,,0.0,visible,hg-xe lamp,500.0,500 w,418.0,1,1,0,0,1,1.0,60.0,1 g/l,60.0,70.0,9.5852,70 vol%,25.0,4.0,6406.67 μmol g⁻¹ h⁻¹,6406.67,10.1002/chem.201501595,https://doi.org/10.1002/chem.201501595,zno/zns heterostructured nanorod arrays and their efficient photocatalytic hydrogen evolution,chemistry a european journal,2015.0,bao et al.,needs_review,catalyst loading calc: 1.0 g/l × 60.0 ml = 60.00 mg; glycerol std: (70.0/100×1261)/92.09 = 9.5852 m; doi resolved via crossref api,high,medium,high,high,medium,high,low,0.625,f854534cc068d7ad,2.42,4.2,8.9,3.0,4.82,5.65,-2.25,139.0,2.28,5.0,8.76525098929478
478,tio2,rgo,,97.0,,pt,3.8,nanoparticle,anatase-rutile,2.52,3.8wt%pt/tio2/rgo,hydrothermal,,0.0,photodeposition,,0.0,uv,hg lamp,450.0,450 w,,0,1,0,1,0,1.0,300.0,1 g/l,300.0,1.0,0.1369,1 vol%,30.0,7.0,7895.7 μmol g⁻¹ h⁻¹,7895.7,10.1166/jnn.2018.14653,https://doi.org/10.1166/jnn.2018.14653,effects of different sacrificial agents and hydrogen production from wastewater by pt-graphene/tio2,journal of nanoscience and nanotechnology,2018.0,nguyen et al.,needs_review,catalyst loading calc: 1.0 g/l × 300.0 ml = 300.00 mg; glycerol std: (1.0/100×1261)/92.09 = 0.1369 m; doi resolved via crossref api,high,medium,high,high,low,high,high,0.625,a6f93653a0fcb0b8,3.2,4.21,86.0,1.0,3.89,5.65,-2.25,139.0,2.28,5.0,8.974200229666188
476,tio2,rgo,,97.0,,pt,3.8,nanoparticle,anatase-rutile,2.52,3.8wt%pt/tio2/rgo,hydrothermal,,0.0,photodeposition,,0.0,uv,hg lamp,450.0,450 w,,0,1,0,1,0,0.25,75.0,0.25 g/l,300.0,1.0,0.1369,1 vol%,30.0,7.0,9985.8 μmol g⁻¹ h⁻¹,9985.8,10.1166/jnn.2018.14653,https://doi.org/10.1166/jnn.2018.14653,effects of different sacrificial agents and hydrogen production from wastewater by pt-graphene/tio2,journal of nanoscience and nanotechnology,2018.0,nguyen et al.,needs_review,catalyst loading calc: 0.25 g/l × 300.0 ml = 75.00 mg; glycerol std: (1.0/100×1261)/92.09 = 0.1369 m; doi resolved via crossref api,high,medium,high,high,low,high,high,0.625,f5b3bb608d0840f9,3.2,4.21,86.0,1.0,3.89,5.65,-2.25,139.0,2.28,5.0,9.209019500008766
475,tio2,rgo,,97.0,,pt,3.8,nanoparticle,anatase-rutile,2.52,3.8wt%pt/tio2/rgo,hydrothermal,,0.0,photodeposition,,0.0,uv,hg lamp,450.0,450 w,,0,1,0,1,0,0.5,150.0,0.5 g/l,300.0,1.0,0.1369,1 vol%,30.0,11.0,9687.2 μmol g⁻¹ h⁻¹,9687.2,10.1166/jnn.2018.14653,https://doi.org/10.1166/jnn.2018.14653,effects of different sacrificial agents and hydrogen production from wastewater by pt-graphene/tio2,journal of nanoscience and nanotechnology,2018.0,nguyen et al.,needs_review,catalyst loading calc: 0.5 g/l × 300.0 ml = 150.00 mg; glycerol std: (1.0/100×1261)/92.09 = 0.1369 m; doi resolved via crossref api,high,medium,high,high,low,high,high,0.625,40edb3c87dfdb857,3.2,4.21,86.0,1.0,3.89,5.65,-2.25,139.0,2.28,5.0,9.178663929115631
473,tio2,rgo,,97.0,,pt,3.8,nanoparticle,anatase-rutile,2.52,3.8wt%pt/tio2/rgo,hydrothermal,,0.0,photodeposition,,0.0,uv,hg lamp,450.0,450 w,,0,1,0,1,0,0.5,150.0,0.5 g/l,300.0,1.0,0.1369,1 vol%,30.0,5.0,10815 μmol g⁻¹ h⁻¹,10815.0,10.1166/jnn.2018.14653,https://doi.org/10.1166/jnn.2018.14653,effects of different sacrificial agents and hydrogen production from wastewater by pt-graphene/tio2,journal of nanoscience and nanotechnology,2018.0,nguyen et al.,needs_review,catalyst loading calc: 0.5 g/l × 300.0 ml = 150.00 mg; glycerol std: (1.0/100×1261)/92.09 = 0.1369 m; doi resolved via crossref api,high,medium,high,high,low,high,high,0.625,4c912044b744c0b3,3.2,4.21,86.0,1.0,3.89,5.65,-2.25,139.0,2.28,5.0,9.288781798282745
471,tio2,rgo,,97.0,,pt,3.8,nanoparticle,anatase-rutile,2.52,3.8wt%pt/tio2/rgo,hydrothermal,,0.0,photodeposition,,0.0,uv,hg lamp,450.0,450 w,,0,1,0,1,0,0.5,150.0,0.5 g/l,300.0,5.0,0.6847,5 vol%,30.0,7.0,6037.9 μmol g⁻¹ h⁻¹,6037.9,10.1166/jnn.2018.14653,https://doi.org/10.1166/jnn.2018.14653,effects of different sacrificial agents and hydrogen production from wastewater by pt-graphene/tio2,journal of nanoscience and nanotechnology,2018.0,nguyen et al.,needs_review,catalyst loading calc: 0.5 g/l × 300.0 ml = 150.00 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; doi resolved via crossref api,high,medium,high,high,low,high,high,0.625,9cebd2f082049c22,3.2,4.21,86.0,1.0,3.89,5.65,-2.25,139.0,2.28,5.0,8.705977155137846
469,tio2,rgo,,97.0,,pt,3.8,nanoparticle,anatase-rutile,2.52,3.8wt%pt/tio2/rgo,hydrothermal,,0.0,photodeposition,,0.0,uv,hg lamp,450.0,450 w,,0,1,0,1,0,0.5,150.0,0.5 g/l,300.0,0.5,0.0685,0.5 vol%,30.0,7.0,9753.6 μmol g⁻¹ h⁻¹,9753.6,10.1166/jnn.2018.14653,https://doi.org/10.1166/jnn.2018.14653,effects of different sacrificial agents and hydrogen production from wastewater by pt-graphene/tio2,journal of nanoscience and nanotechnology,2018.0,nguyen et al.,needs_review,catalyst loading calc: 0.5 g/l × 300.0 ml = 150.00 mg; glycerol std: (0.5/100×1261)/92.09 = 0.0685 m; doi resolved via crossref api,high,medium,high,high,low,high,high,0.625,c16d5be2fce1b716,3.2,4.21,86.0,1.0,3.89,5.65,-2.25,139.0,2.28,5.0,9.185494247603481
468,tio2,rgo,,97.0,,pt,3.8,nanoparticle,anatase-rutile,2.52,3.8wt%pt/tio2/rgo,hydrothermal,,0.0,photodeposition,,0.0,uv,hg lamp,450.0,450 w,,0,1,0,1,0,0.25,75.0,0.25 g/l,300.0,20.0,2.7386,20 vol%,40.0,7.0,68649 μmol g⁻¹ h⁻¹,68649.0,10.1166/jnn.2018.14653,https://doi.org/10.1166/jnn.2018.14653,effects of different sacrificial agents and hydrogen production from wastewater by pt-graphene/tio2,journal of nanoscience and nanotechnology,2018.0,nguyen et al.,needs_review,catalyst loading calc: 0.25 g/l × 300.0 ml = 75.00 mg; glycerol std: (20.0/100×1261)/92.09 = 2.7386 m; doi resolved via crossref api,high,medium,high,high,low,high,high,0.625,dd8c4468e9583c84,3.2,4.21,86.0,1.0,3.89,5.65,-2.25,139.0,2.28,5.0,11.136776411196116
465,tio2,rgo,,97.0,,pt,2.5,nanoparticle,anatase-rutile,2.52,2.5wt%pt/tio2/rgo,hydrothermal,,0.0,photodeposition,,0.0,uv,hg lamp,450.0,450 w,,0,1,0,1,0,0.25,75.0,0.25 g/l,300.0,20.0,2.7386,20 vol%,30.0,7.0,61622 μmol g⁻¹ h⁻¹,61622.0,10.1166/jnn.2018.14653,https://doi.org/10.1166/jnn.2018.14653,effects of different sacrificial agents and hydrogen production from wastewater by pt-graphene/tio2,journal of nanoscience and nanotechnology,2018.0,nguyen et al.,needs_review,catalyst loading calc: 0.25 g/l × 300.0 ml = 75.00 mg; glycerol std: (20.0/100×1261)/92.09 = 2.7386 m; doi resolved via crossref api,high,medium,high,high,low,high,high,0.625,695bfe7cfe00dc79,3.2,4.21,86.0,1.0,3.89,5.65,-2.25,139.0,2.28,5.0,11.028790456457282
499,cds,,,100.0,,pt,,nanoparticle,,,xwt%pt/cds,heat treating,,0.0,photodeposition,,0.0,visible,hg-xe lamp,500.0,500 w,418.0,1,1,0,0,1,1.5,90.0,1.5 g/l,60.0,50.0,6.8466,50 vol%,25.0,7.0,2.67 μmol g⁻¹ h⁻¹,2.67,10.1002/chem.201501595,https://doi.org/10.1002/chem.201501595,zno/zns heterostructured nanorod arrays and their efficient photocatalytic hydrogen evolution,chemistry a european journal,2015.0,bao et al.,needs_review,catalyst loading calc: 1.5 g/l × 60.0 ml = 90.00 mg; glycerol std: (50.0/100×1261)/92.09 = 6.8466 m; doi resolved via crossref api,high,medium,high,high,medium,high,low,0.625,b8b09cd253ce5266,2.42,4.2,8.9,3.0,4.82,5.65,-2.25,139.0,2.28,5.0,1.3001916620664788
498,cds,,,100.0,,pt,,nanoparticle,,,xwt%pt/cds,heat treating,,0.0,photodeposition,,0.0,visible,hg-xe lamp,500.0,500 w,418.0,1,1,0,0,1,2.0,120.0,2 g/l,60.0,70.0,9.5852,70 vol%,25.0,10.0,0.71 μmol g⁻¹ h⁻¹,0.71,10.1002/chem.201501595,https://doi.org/10.1002/chem.201501595,zno/zns heterostructured nanorod arrays and their efficient photocatalytic hydrogen evolution,chemistry a european journal,2015.0,bao et al.,needs_review,catalyst loading calc: 2.0 g/l × 60.0 ml = 120.00 mg; glycerol std: (70.0/100×1261)/92.09 = 9.5852 m; doi resolved via crossref api,high,medium,high,high,medium,high,low,0.625,e07aaa29cfb9eeba,2.42,4.2,8.9,3.0,4.82,5.65,-2.25,139.0,2.28,5.0,0.5364933705145685
497,cds,,,100.0,,pt,,nanoparticle,,,xwt%pt/cds,heat treating,,0.0,photodeposition,,0.0,visible,hg-xe lamp,500.0,500 w,418.0,1,1,0,0,1,2.0,120.0,2 g/l,60.0,70.0,9.5852,70 vol%,25.0,10.0,1435 μmol g⁻¹ h⁻¹,1435.0,10.1002/chem.201501595,https://doi.org/10.1002/chem.201501595,zno/zns heterostructured nanorod arrays and their efficient photocatalytic hydrogen evolution,chemistry a european journal,2015.0,bao et al.,needs_review,catalyst loading calc: 2.0 g/l × 60.0 ml = 120.00 mg; glycerol std: (70.0/100×1261)/92.09 = 9.5852 m; doi resolved via crossref api,high,medium,high,high,medium,high,low,0.625,3911fb226264456a,2.42,4.2,8.9,3.0,4.82,5.65,-2.25,139.0,2.28,5.0,7.269616749608169
822,zno,,,100.0,,,,nanorod,,3.19,zno,precipitation,600.0,2.0,precipitation,600.0,2.0,visible,led,10.0,10 w,,0,0,1,0,1,1.5,52.5,1.5 g/l,35.0,5.0,0.6847,5 vol%,25.0,6.0,613.14 μmol g⁻¹ h⁻¹,613.14,10.1016/j.ijhydene.2020.02.065,https://doi.org/10.1016/j.ijhydene.2020.02.065,exploring the photocatalytic hydrogen production potential of titania doped with alumina derived from foil waste,international journal of hydrogen energy,2020.0,osman et al.,needs_review,catalyst loading calc: 1.5 g/l × 35.0 ml = 52.50 mg; glycerol std: (5.0/100×1261)/92.09 = 0.6847 m; co_catalyst set to 'none': bare semiconductor; doi resolved via crossref api,high,medium,high,high,low,high,high,0.625,a362d75585ad0d0c,3.37,4.35,8.5,3.0,5.61,0.0,0.0,0.0,0.0,0.0,6.420222915185438
69,tio2,,,100.0,,au,3.0,nanoparticle,anatase,3.05,3wt%au/tio2,,,0.0,precipitation,400.0,2.0,uv,hg lamp,125.0,125 w,,0,1,0,1,0,1.0,85.0,1 g/l,85.0,10.0,1.3693,10 vol%,25.0,6.8,23280 μmol g⁻¹ h⁻¹,23280.0,needs_verification (10.1016/j.cattod.2017.mm.xxx),,"a comparative study of hydrogen photocatalytic production from glycerol and propan-2-ol on m/tio2 systems (m=au, pt, pd)",catalysis today,2017.0,lópez-tenllado et al.,needs_review,catalyst loading calc: 1.0 g/l × 85.0 ml = 85.00 mg; glycerol std: (10.0/100×1261)/92.09 = 1.3693 m,high,medium,high,high,low,high,high,0.625,a85f046916b4808a,3.2,4.21,86.0,1.0,3.89,5.1,-3.56,144.0,2.54,5.0,10.05539285624928
