host_material,co_catalyst,pred_her_umol_g_h,pred_her_lower_umol_g_h,pred_her_upper_umol_g_h,ad_label,novelty_class,novelty_score,reasoning
zns,ru,3276.8700824361176,650.3580549222894,16494.43165411784,Moderate Confidence,Potentially Novel,0.629,"Host 'zns' exists, but cocatalyst 'ru' is novel for this system"
zns,mos2,3250.1898220162548,645.0563187049144,16360.166902556111,Moderate Confidence,Potentially Novel,0.623,"Host 'zns' exists, but cocatalyst 'mos2' is novel for this system"
v2o5,cos2,3244.2468648519666,643.8753710402221,16330.25978565964,Moderate Confidence,Potentially Novel,0.77,Host 'v2o5' is not in the training dataset
cu2o,cos2,3244.2468648519666,643.8753710402221,16330.25978565964,Moderate Confidence,Potentially Novel,0.77,Host 'cu2o' is not in the training dataset
ga2o3,cos2,3244.2468648519666,643.8753710402221,16330.25978565964,Moderate Confidence,Potentially Novel,0.77,Host 'ga2o3' is not in the training dataset
cu2o,fes2,3237.2134264195843,642.477729687296,16294.864971332958,Moderate Confidence,Potentially Novel,0.771,Host 'cu2o' is not in the training dataset
ga2o3,fes2,3237.2134264195843,642.477729687296,16294.864971332958,Moderate Confidence,Potentially Novel,0.771,Host 'ga2o3' is not in the training dataset
v2o5,fes2,3237.2134264195843,642.477729687296,16294.864971332958,Moderate Confidence,Potentially Novel,0.771,Host 'v2o5' is not in the training dataset
moo3,au,3158.1624246593046,626.7692038911894,15897.05164623707,Moderate Confidence,Similar to Reported,0.462,Host 'moo3' and cocatalyst 'au' both exist in dataset but not in this specific combination
fe2o3,au,2994.466500952703,594.2405631022914,15073.274359873994,Moderate Confidence,Potentially Novel,0.836,Host 'fe2o3' is not in the training dataset
in2o3,au,2983.8343220352717,592.1278023140123,15019.769377597058,Moderate Confidence,Potentially Novel,0.817,Host 'in2o3' is not in the training dataset
wo3,au,2983.2519575709525,592.0120784521158,15016.838708297371,Moderate Confidence,Similar to Reported,0.416,Host 'wo3' and cocatalyst 'au' both exist in dataset but not in this specific combination
moo3,pt,2975.957957285485,590.562659860451,14980.13265217918,Moderate Confidence,Previously Reported,0.136,Exact host-cocatalyst pair exists in dataset
wo3,pd,2975.261390776026,590.4242424749798,14976.627276749306,Moderate Confidence,Similar to Reported,0.389,Host 'wo3' and cocatalyst 'pd' both exist in dataset but not in this specific combination
